position,job_type,company_name,location,company_rating,company_reviews,reviews_link,salary_low,salary_high,experience,description,job_posted,url,page
TurboTax Live - Work From Home Tax Associate,,Intuit,"San Francisco, CA 94102",4.2,1663,https://www.indeed.com/cmp/Intuit/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lpooio29k800&fromjk=5605f4084e76d09d&jt=TurboTax+Live+-+Work+From+Home+Tax+Associate,,,,"Overview
Do you have a minimum of 3 season of paid Tax Preparation experience, with a minimum of 30 tax returns per tax year? If you're a tax professional, we need you to help our customers complete their taxes using TurboTax. You’ll advance our goal of “Powering Prosperity Around the World” by providing expert guidance and explanations of tax and technical terms to our customers. You’ll also play an important role in our effort to enhance our brand by delighting our customers and empowering them to prepare their taxes.
What you'll bring
Minimum 3 season of paid Tax Preparation experience, with a minimum of 30 tax returns per tax year required.
Prior tax preparation experience in a tax practice or retail setting required.
College degree a plus. The ideal candidate will have a background in business, finance, accounting, or tax
Knowledge of tax laws, tax concepts and familiarity with form 1040 and schedules
PTIN required
Ability/motivation to expand expertise and obtain a tax credential or certification - Intuit offers a program to obtain your EA
Strong customer service skills with ability to empathize and instill confidence
Ability to work within a team to assist in preparation of accurate tax returns in a timely manner
Strong Research skills and the ability to quickly use online resources to find answers
Critical thinking and problem solving
Persistence and determination
Willingness to utilize audio/visual tools to communicate with customers
Comfortable interacting with customers through video, in a professional way that represents the Intuit TurboTax brand well
Friendly and reassuring on camera
Bilingual (English/Spanish) communication skills (written & spoken) a plus
For internal use: tst assoc
How you will lead
This is a seasonal position providing assistance to customers both assisting them in preparing their own returns and/or fully preparing customer tax returns
Compiling/preparing tax returns for TurboTax Customers
Gathering/organizing and accurately entering customer data in the federal and state tax returns for review
Communicate directly with the customer as needed
Coordinate customer meetings and follow-up
Communicate updates to credentialed tax experts on assigned customers
Will help customers who are working on their tax return with both product/software inquiries, as well as with tax questions and calculations
Apply defined practices, procedures and company policies to troubleshoot and resolve product and tax support customer inquiries
Will interact with customers utilizing strong written and verbal skills as well as deep customer empathy
Typical Deliverables:
Accurate and complete customer data entered in tax returns for credentialed tax expert review
High quality customer interactions and experiences
Application of defined practices, procedures and company policies to troubleshoot, resolve issues and address routine Tax Support customer questions
Proficient with technology and solid knowledge of computer operations and software.
Utilize and leverage government websites and toolkits to seek out and deliver the right answer to the customer
Document customer interactions
Represent the Intuit TurboTax brand and spirit by demonstrating empathy for the customer, empowering and partnering with the customer, personalizing the experience, and providing them the confidence that they can do their own taxes
If you are a Colorado resident, visit intuit.com/careers/colorado-job-postings-information/",14 days ago,https://www.indeed.com/rc/clk?jk=5605f4084e76d09d&fccid=9784ae78e9834539&vjs=3,1
"Remote Seasonal Associate, Tax Exempt Organizations (990)",,KPMG,"Walnut Creek, CA 94596",3.9,6985,https://www.indeed.com/cmp/Kpmg/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lps39pi9s800&fromjk=ab2b3c2bfbf2df7f&jt=Remote+Seasonal+Associate%2C+Tax+Exempt+Organizations+%28990%29,,,plus years,"At KPMG, you can become an integral part of a dynamic team at one of the world’s top tax firms. Enjoy a collaborative, future-forward culture that empowers your success. Work with KPMG’s extensive network of specialists & enjoy access to our Ignition Centers, where deep industry knowledge merges with cutting-edge technologies to create innovative tax solutions. Join a diverse team helping high-profile clients understand, analyze, and respond to complex business opportunities and challenges. Develop your career through a range of multifaceted engagements, formal training, and informal mentoring.
At KPMG, we believe nothing is more important than investing in our culture because it’s an investment in our people, our future, and what we stand for as a firm.
KPMG is currently seeking a Seasonal Tax Associate or Senior Associate to join our Development & Exempt Organizations practice.
Responsibilities:
Perform tax-related tasks, including tax compliance to tax exempt organizations (990)
Conduct grant expenditure evaluations and financial analysis of ongoing domestic and international grants
Organize and assist with pre-grant evaluations and ongoing grant monitoring activities
Coordinate and liaise with KPMG offices worldwide that support grant expenditure evaluations, pre-grant evaluations, and other financial aspects of grant-related activities
Stay current on latest industry and philanthropic issues as well as tax practices as they relate to our client base
Work as part of a multi-disciplinary team to develop and sustain excellent client relationships
Additional Responsibilities for Senior Associate:
Participate in and contribute to market and business activities external to the firm
Lead teams of tax professionals and assistants working on client projects
Qualifications:
A minimum of one year of tax and advisory experience with exempt organizations in an accounting, law, and/or other professional services firm with a focus on the provision of services to exempt organizations preferred
Bachelor's degree in Accounting, Finance, Economics, Public & International affairs, Public Administration; Master of Accountancy, Master of Taxation, JD degree with a Bachelor of Accountancy, and/or LLM degree with a concentration in tax from an accredited college/university
Strong interest and experience in philanthropic activities, volunteerism, and non-profit organizations
Effective communication and time management skills
Excellent financial analysis skills
Ability to work as a team and strive for personal effectiveness and professionalism to maintain excellent client service
Additional Qualifications for Senior Associate:
A minimum of two plus years of tax and advisory experience with exempt organizations in an accounting, law, and/or other professional services firm with a focus on the provision of services to exempt organizations preferred
Experience managing multiple client engagements and client service teams with verbal and written communications skills
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.",5 days ago,https://www.indeed.com/rc/clk?jk=ab2b3c2bfbf2df7f&fccid=2dd390c3a48a7ed0&vjs=3,1
Tax Experienced Staff - Transaction Tax Advisory - ITTS - US West,,EY,"San Francisco, CA 94105",4.0,7978,https://www.indeed.com/cmp/Ey/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lpv0gocbj800&fromjk=4482ca3524d4adf4&jt=Tax+Experienced+Staff+-+Transaction+Tax+Advisory+-+ITTS+-+US+West,,,,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
Location: SAN FRANCISCO, SAN JOSE, LOS ANGELES, HOUSTON, DALLAS
Our Transaction Tax Practice is comprised of a dedicated team focused on the tax aspects of corporate and private equity acquisitions, dispositions, dispositions, restructurings and capital market transactions. As a staff on the Transactions team, we'll look to you to apply your knowledge to a wide range of tax areas, devising strategic outcomes to very complex issues, including US domestic and cross-border tax strategies. In return, you can expect support from the most recognized and engaging tax minds in the profession, and tremendous opportunities to progress your career.
As a Transaction Tax Staff, you'll be right at the heart of the action. You'll work with many of the world's largest organizations, fastest-growing companies and private equity firms on some of the most complex deals. You'll be advising clients throughout the transaction lifecycle on key drivers to increase value and reduce the risks and uncertainty inherent in transactions.
The opportunity
Our Transactions practice is constantly evolving, and it's here you'll find everything you need to grow as we do. It's all about taking on new skills and responsibilities as they arise, and making the most of our dedicated mentors and training programs. Our Transaction Tax practice helps our clients plan, execute and integrate their transaction strategies. Our services include deal structuring, due diligence, post-deal integration, internal restructuring, distressed debt and bankruptcy, tax attribute management and planning, and drafting opinions and IRS ruling requests.
Your key responsibilities
As a Staff you will be a member of the team developing and implementing transactions. You'll spend your time on a diverse array of project and clients in a highly collaborative culture. We'll look to you to develop relationships with our clients and team effectively with internal resources.
Skills and attributes for success
Serve as a member of multiple client engagement teams, participating in due diligence and structuring engagements related to transactions for private equity and strategic corporate clients
Perform due diligence projects to provide a thorough review of tax returns, legal documents and financial statements needed to evaluate and calculate potential tax exposures
Review, assess, and advise clients regarding tax computations reflected in their financial models; and assist clients in the quantitative and qualitative analysis of the tax data in their financial projections for the transaction
To qualify for the role you must have
US CPA or member of US State bar
A bachelor's degree required
Minimum of about 1 year of related tax experience
Tax compliance experience preparing or reviewing business tax returns experience preferred
Tax due diligence, deal structuring, and post-acquisition planning experience preferred
Ideally, you'll also have
Strong writing, research, analytical, communication and presentation skills
Ability to work in fast paced professional services environment
Willingness and ability to travel, when necessary
What we look for
We're interested in experienced tax professionals with a collaborative, client-focused approach to work. You'll need strong communication skills, and the ability to effectively prioritize when working with multiple clients. If you're a naturally curious problem solver with confidence to get involved and support colleagues and clients across the business, this role is for you.
What we offer
We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, pension and 401(k) plans, and a wide range of paid time off options. Under our flexible vacation policy, you’ll decide how much vacation time you need based on your own personal circumstances. You’ll also be granted time off for designated EY Paid Holidays, Winter/Summer breaks, Personal/Family Care, and other leaves of absence when needed to support your physical, financial, and emotional well-being.
Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next.Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs.Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
If you can demonstrate that you meet the criteria above, please contact us as soon as possible.
The exceptional EY experience. It’s yours to build.
EY | Building a better working world
EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.
Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.
Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, in accordance with applicable law.",6 days ago,https://www.indeed.com/rc/clk?jk=4482ca3524d4adf4&fccid=1544766d4c2915b0&vjs=3,1
Casual Accountant,Part-time,City of Redwood City,"Redwood City, CA 94063",4.1,17,https://www.indeed.com/cmp/City-of-Redwood-City/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lq26mocji800&fromjk=ab85db0c5b0e6e39&jt=Casual+Accountant,,,,"JOB
The City of Redwood City invites you to apply for the position of Casual Accountant.

A complete application is required, including a written supplemental questionnaire.
Submit your application online via CalOpps by 11:59 pm on Sunday, November 28, 2021.
Applications will be reviewed continuously as they are received.
Please click on the job announcement file to review the recruitment flyer here.",3 days ago,https://www.indeed.com/rc/clk?jk=ab85db0c5b0e6e39&fccid=f3427807a5254b72&vjs=3,1
MTS Tax Data Technologist - Tax Consultant II,Full-time,Deloitte,"Foster City, CA",4.0,10287,https://www.indeed.com/cmp/Deloitte/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lq5gfo27a800&fromjk=b9931d89b8608946&jt=MTS+Tax+Data+Technologist+-+Tax+Consultant+II,,,numerous years,"MTS Tax Data Technologist - Tax Consultant II

Description

Are you a strategic and creative Tax professional who likes solving complex state and local tax issues? Are you ready to make a greater impact on organizations by combining tax consulting solutions and innovative technology that align the tax function with business objectives? We are looking for a Tax Consultant II who can drive technology to solve challenges and join one of the largest multistate tax practices in the United States.

What you'll do

As a Tax Consultant II within the Multistate Tax Services group, you will provide innovative technology solutions to complex state and local tax issues across a diverse client base. You will continue to grow your technical knowledge in state taxation and emerging technologies by working on large, complex tax projects. You will have access to exceptional resources. Responsibilities include:

Identifying opportunities to improve operational efficiencies and streamline work flows through application of emerging technologies and implementing those ideas.
Contributing to innovation efforts within Deloitte's multistate tax practice.
Supporting development efforts for new state tax technology applications or offerings
Providing support on client projects related to state tax technology offerings.

The Team

Deloitte's Multistate Tax Services (MTS) group is the largest State and Local Tax (SALT) practice in the United States with more than 1,000 professionals nationwide. Our Multistate Tax professionals include former state tax auditors and administrators, industry personnel, tax practitioners, accounting specialists, and technology personnel with numerous years of multistate tax experience. Collectively, our team has significant experience with the requirements and nuances of jurisdictions in all 50 states. Our specific services include state income and franchise tax, indirect tax, business restructuring, credits and incentives, sales and use tax outsourcing, excise tax, property tax, state strategic tax review, and state tax controversy.

Qualifications

Required:

1+ years of experience in Corporate tax compliance or other tax experience
Experience with data extract/transform/load (ETL) tools (e.g. Alteryx, Informatica, PAXATA)
Bachelor's degree in finance, accounting or computer science relevant field
Travel up to 50% (While 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)
CPA, Enrolled Agent, or other appropriate certification (either in process or able/willing to obtain)
Limited sponsorship may be available

Preferred:

State taxation experience
Experience with ONESOURCE compliance /provision software tools
Organizational skills with ability to multitask/manage multiple projects simultaneously
Creative and problem-solving skills
Familiarity with data visualization and analytics tools (e.g. Power BI, Tableau, QlikView)
Advanced degree such as Masters of Tax or JD and/or LLM
Previous Big 4 or large CPA firm experience

How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.


Benefits

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.


Deloitte's culture

We take pride in our culture and celebrate individuals by recognizing their uniqueness. As a commitment to our people, we offer well-being programs and provide our professionals opportunities for support and flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. This supportive culture helps enable our people to do their best work every day. Learn more about Life at Deloitte.


Corporate citizenship

Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte's impact on the world.


Recruiter tips

We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you're applying to. Check out recruiting tips from Deloitte professionals.",8 days ago,https://www.indeed.com/rc/clk?jk=b9931d89b8608946&fccid=9e215d88a6b33622&vjs=3,1
Assurance Services Experienced Staff - Financial Services-Wealth and Asset Management-Multi-Locat,,EY,"San Francisco, CA 94105",4.0,7978,https://www.indeed.com/cmp/Ey/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lqbjpnpfj801&fromjk=4fd15ca5e709ef29&jt=Assurance+Services+Experienced+Staff+-+Financial+Services-Wealth+and+Asset+Management-Multi-Locat,,,,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
Our Financial Services Organization is a unique, industry-focused practice, and the only one of its kind within a Big 4 firm — and the Wealth and Asset Management is a key sector within this area. With strong functional capabilities, industry-leading technology and a varied range of knowledge, our clients look to us for assurance services they can rely on every time. And as an Audit Experienced Associate, you’ll be at the heart of that goal, personally visiting high-profile clients on site to understand their unique needs and build your reputation as a trusted business advisor.
The opportunity
This is an area that has seen substantial investment, focused on technology, knowledge and development for assurance professionals. You’ll see that reflected in your career, with plenty of opportunities to take on new responsibilities. That could mean developing a deep professional knowledge base in one area, or diversifying to audit in other markets such as wealth and asset management, hedge fund, and private equity.
Your key responsibilities
You’re likely to balance your time between engaging with a team of assurance professionals across a portfolio of projects, and personally engaging with our clients. It’s the perfect role if you’re looking to diversify your professional management skills and experiences, all while further developing your leadership skills.
Skills and attributes for success
Performing complex and specific audit procedures, while developing effective, client-focused audit strategies
Proactively building relationships that support our ability to provide tailored services that meet a wide range of assurance needs and contribute to new business development
Identifying and reacting to potential risks and developing new ways to improve our products and processes that promote growth and increase revenue
Continually updating your understanding of business trends and emerging technologies to maintain your reputation as a trusted business advisor
To qualify for the role you must have
A bachelor’s degree in Accounting, Business or Finance, supported by approximately 1 year of work experience as an auditor in a public accounting firm.
A record of excellence in serving clients across the WAM industry
A CPA certification in the work state location
Engagement management, execution and reporting skills, and the ability to build relationships with clients with a diverse range of backgrounds
Confidence in your ability to prioritize when managing multiple project simultaneously
Ideally you’ll also have
A firm understanding of engagement economics
A proven ability to build a network of contacts and mutual business relationships
What we look for
We’re interested in leaders who are creative and agile thinkers, with a genuine interest in improving our audit capabilities. You’ll also need to be a capable communicator both in the boardroom and across your team. If you have the technical and personal skills to understand our clients and provide excellent services every time, this role is for you.
What we offer
We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, pension and 401(k) plans, and a wide range of paid time off options. Under our flexible vacation policy, you’ll decide how much vacation time you need based on your own personal circumstances. You’ll also be granted time off for designated EY Paid Holidays, Winter/Summer breaks, Personal/Family Care, and other leaves of absence when needed to support your physical, financial, and emotional well-being.
Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next.Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs.Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
If you can demonstrate that you meet the criteria above, please contact us as soon as possible.
The exceptional EY experience. It’s yours to build.
EY | Building a better working world
EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.
Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.
Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, in accordance with applicable law.",6 days ago,https://www.indeed.com/rc/clk?jk=4fd15ca5e709ef29&fccid=1544766d4c2915b0&vjs=3,2
Staff Accountant,Full-time,SD Mayer and Associates,"San Francisco, CA 94104",,,,60000,75000,,"Join Our TeamSD Mayer & Associates LLP is one of the leading companies in our field in the area. We're proud of our 4.6 ratings on Glassdoor from our employees. We are hiring a talented full-time Staff Accountant professional to join our team. If you're excited to be part of a winning team, SD Mayer & Associates LLP. is a great place to grow your career. You'll be glad you applied.You will be working in our Outsource department, along with our excellent manager, senior, and staff professionals. This position will be responsible for:Providing excellent support to both for-profit and not-for-profit clients.Assisting with monthly closes and financial reportingEnsuring the accurate and timely completion of all assigned tasksProactively anticipating clients' needs and proposing solutions to their accounting challenges.Skills and QualificationsAbility and willingness to keep maintain confidentialityFamiliarity with accounting and corporate finance principles and proceduresAbility to multitask, prioritize, and organize efficientlyExcellent oral and written communication skills.Begin to understand client needs, identifies root causes of problems, and implements pragmatic solutions.Preferred QualificationsKnowledge of GAAP (generally accepted accounting principles in the U.S.) a plusDesire to continue to grow through continuing trainingQuickBooks OnlineBill.comInsurance, Health& WellnessHealth Insurance (90% covered by employer) Flexible Spending Account (FSA)Life Insurance Dental Insurance (Free)Vision Insurance (Free) Disability InsuranceBenefitsUnlimited PTO Paid HolidaySick Pay Bereavement LeaveRetirement Plan Awesome Company CulturePerks & DiscountsCompany Social Events Gym MembershipMonthly Lunch Catering Happy HourCheck us out: https://www.sdmayer.com/Firm ProfileSD Mayer &Associates is a fast-growing, full-service, community-minded accounting, advisory, and outsourced accounting firm. We can also help clients plan for their future through our retirement and wealth management services. We have the expertise to help clients in a variety of industries, including creative services, financial services, hospitality & leisure, professional services, manufacturing & distribution, nonprofits, real estate & construction, retail, technology, and public companies.SD Mayer &Associates is located in The Russ Building and is based in San Francisco, with offices in Menlo Park and Seattle, along with consultants located in key locations throughout the United States. We can also tap into our global resources through our membership with BDO Alliance, the fifth-largest association of accountants, consultants, and professional services firms. With more than 550 independent alliance firm locations, the Alliance represents nearly every state and includes a comprehensive range of services. Member firms are fully autonomous, united in mindset, the caliber of service, and spirit of collaboration, to the benefit of all involved – BDO and its clients, Alliance members, and their clients.We have been consistently named a ""Best Place to Work,"" are listed as a ""Fastest Growing Private Company"" and have been named one of the Top Accounting Firms in the San Francisco Bay Area, as well as the Best Accounting Firm by Best of Small Business Awards 2019.Our managing partner, Stephen D. Mayer, was a former CEO and co-founder of Burr Pilger Mayer (BPM), before founding SD Mayer & Associates in 2012. Steve brings his core values and over four decades of experience to his new firm: helping clients be successful in business and life, investing in and serving the community, and having fun.Job Type: Full-timeJob Type: Full-timePay: $60,000.00 - $75,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceFlexible scheduleFlexible spending accountHealth insuranceLife insurancePaid time offVision insuranceWork from homeSchedule:Monday to FridaySupplemental Pay:Bonus payAbility to commute/relocate:San Francisco, CA 94104: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Work Location: One location",13 days ago,https://www.indeed.com/company/SD-Mayer-and-Associates/jobs/Staff-Accountant-03a1d9298dec59d3?fccid=077e6eb877b48fc1&vjs=3,2
Accountant I,Full-time,San Francisco Federal Credit Union,"San Francisco, CA 94118",2.8,8,https://www.indeed.com/cmp/SAN-Francisco-Federal-Credit-Union/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lqfk2o1dq800&fromjk=467befa79df1d56b&jt=Accountant+I,,,1-2 years,"Who Are We?
With an A health rating and solid year over year growth, San Francisco Federal Credit Union’s (SFFedCU) membership is now over 43,000, with assets surpassing $1.3 billion and branches located in San Francisco and San Mateo County. Continuing along its highly successful growth trajectory, SFFedCU is seeking an Accountant I who is able to work on site at our San Francisco headquarters.
The Position
The position is for early birds who can start their shift at 7:30 am. They will be posting and reconciling to the general ledger, working on accounts payable, fixed assets, investments, loan participation settlements, reporting and doing research and resolving discrepancies. Previous payroll experience with ADP TotalSource/EZ Labor is a big plus.
Who Are You?
The Accountant I applies their knowledge and degree in Accounting along with their minimum of 1-2 years of experience to work in a fast paced yet accurate environment.
Why Join Us?
The compensation package includes an excellent benefits program including health insurance plans with 100% paid premiums on some plans, generous PTO, 401K contributions, profit sharing, a competitive base, annual and bi-annual bonuses, as well as commuter subsidies and tuition reimbursement.
SFFedCU is an Equal Employment Opportunity Employer. In accordance with federal and state laws, SFFedCU does not discriminate in employment because of race, color, religion, sex, national origin, age, physical and mental disability, marital status, pregnancy, childbirth, breastfeeding or related condition, ancestry, medical condition (associated with cancer, a history of cancer or genetic characteristics), veteran or military status, sexual orientation, gender, gender identity or gender expression, HIV/AIDS status, genetic information or any other characteristic protected by law.
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",13 days ago,https://www.indeed.com/rc/clk?jk=467befa79df1d56b&fccid=632a679dc67ecd71&vjs=3,2
Accountant,Full-time,"Spott, Lucey and Wall, Inc. CPAs","San Francisco, CA 94111",,,,71000,71000,2 years,"Job Title:  AccountantLocation:  San Francisco, CaliforniaSPOTT, LUCEY & WALL, INC. is a San Francisco based CPA firm that provides comprehensive professional taxation, audit, accounting, and management advisory services to domestic and foreign businesses. We emphasize personalized service to our clients.SPOTT, LUCEY & WALL, INC. works with many of our clients on international business and tax affairs. We handle matters for foreign corporations investing in or owning United States businesses, foreign citizens working in the United States, as well as U.S. citizens and residents working abroad.Our tax department services include all areas of taxation including local property, payroll, sales and use, gross receipts, and multi-state income.SPOTT, LUCEY & WALL, INC. provides personalized planning services. We assist clients in making financial and business decisions. We also represent our clients in disputes with tax authorities.Spott, Lucey & Wall, Inc. is seeking top level accounting graduates who are committed to a lifelong career in public accounting and who aspire to eventual ownership in our firm. Our firm offers a diversity of professional experiences that begins during the first month with on-the-job experience in all aspects of accounting. You will be working directly with clients as soon as possible and help them make important decisions in their business. In addition, new staff members actively participate in staff meetings and have a voice in making decisions affecting the firm. If this is the career you are looking for and San Francisco is where you want to work, please contact us.Responsibilities:Preparation of federal, state and local income tax returns for individuals, corporations, S corporations, LLCs and partnershipsProvide accounting advisory support to clients, including implementation assistance with new accounting standardsEffective work paper preparation in compliance with firm standards and proceduresWork as an effective team member to complete project components and assignment tasks within the deadlineAbility to synthesize data and convey information in a meaningful waySupports growth and business development by marketing and social eventsQualifications:Entry level and up to 2 years of accounting experience with a public accounting firmBachelor's degree in accounting from an accredited college/universityIntention to study for and pass CPA exam within one year of graduationStrong knowledge of the U.S. GAAP and IFRSWe are ideally seeking candidates who do not require sponsorship for employment, but are also very interested in candidates who are fluent in German, Japanese, Arabic, Vietnamese, Swedish and FrenchWe are actively recruiting recent graduates, candidates that will be graduating within the next 6 months to a year and candidates that have up to 2 years’ experience. Please send your resume and unofficial transcripts, along with a cover letter that tells us why you think you are a good candidate.Spott, Lucey and Wall, Inc. offers a comprehensive compensation and benefits package.Job Type: Full-timePay: From $71,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceFlexible scheduleHealth insuranceLife insurancePaid time offParental leaveProfessional development assistanceTuition reimbursementVision insuranceSchedule:Monday to FridayEducation:Bachelor's (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One location",7 days ago,"https://www.indeed.com/company/Spott,-Lucey-and-Wall,-Inc.-CPAs/jobs/Accountant-6eadc5567ef8f31e?fccid=9b2efb6aeabbc7a8&vjs=3",2
Part-Time Staff Accountant,Part-time,SillaJen Biotherapeutics Inc,"San Francisco, CA 94111",,,,,,,"Job Purpose(s)Provide invaluable inputs; perform accounting tasks and responsibilities essential to the company’s overall operations. Can work a flexible schedule of 4 to 6 hours a day.*Essential Duties and *ResponsibilitiesMaintain best practices for Purchase Order processing system.Manage the full cycle of Accounts Payable and perform periodic reconciliation to ensure all vendor accounts are current.Research and respond to all vendor inquiry and coordinate with involved parties to revolve discrepancies or issues, if any.Keep vendor information organized and accurate, including W-9’s; prepare year-end 1099 and 1096 tax reporting.Compile all intercompany Cost Shared invoices/expenses, and prepare a periodic summary report.Process employees’ expense reimbursements, ensure expenses are in accordance with the company’s T&E policy.Assist in month-end closing by preparing invoice accrual entries, coordinate with department heads to get invoices on time &/or invoice estimates, if any.Assist in the preparation of company’s local, state, and federal regulations and compliance.Perform administrative duties such as filings, mailings, documentation retention, office supplies ordering, and all other administrative tasks.Education and ExperienceBachelor’s degree in Accounting (or related field) with at least 1 year of hands on Accounts Payable and general accounting experience.*Specialized Skills*Must possess basic mathematic skills; ability to analyze figures; knowledge of Generally Accepted Accounting Principles and International Financial Reporting Standards; and excellent verbal and written skills. The candidate must be able to multi-task, establish priorities to meet deadlines, and organize efficiently. Knowledge of Microsoft Word and Excel, and familiarity with accounting software. NetSuite experience preferred._SillaJen will consider for employment qualified applicants consistent with the requirements of the San Francisco Fair Chance Ordinance._Job Type: Part-timeWork Location: Multiple Locations",12 days ago,https://www.indeed.com/company/SillaJen-Biotherapeutics-Inc/jobs/Part-Time-Staff-Accountant-4dc4914c891c66b5?fccid=d0b47f1ecef3e535&vjs=3,2
Staff Accountant,Full-time,Consumer Packaged Goods,"San Rafael, CA 94901",,,,50000,70000,1-2 years,"We are a leading California cannabis brand seeking an extremely bright, ambitious Staff Accountant. This is a great opportunity to develop your skills with a very professional, experienced finance team in a new growth industry. We are based in the Bay Area and Mendocino County, working remotely.Ideally you have- BS Finance, Accounting, Business with high GPA- 1-2 years’ accounting experience- CPA firm experience a +- Local candidates onlyPlease send us a short note highlighting your strengths along with your resume.Job Type: Full-timePay: $50,000.00 - $70,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleFlexible spending accountHealth insurancePaid time offVision insuranceSchedule:Monday to FridayWork Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One location",5 days ago,https://www.indeed.com/company/Consumer-Packaged-Goods/jobs/Staff-Accountant-956ce54da40b3b28?fccid=6f971068b408243d&vjs=3,2
